,id,author_id,text,geo
64,1446697856736251906,1176581655076564992,/ae/ Mys ayoo str3amiiingg ini bener2 turun banyak daily viewsnyaaa tolong gimanaaa kita blm ke mushow loooh 😭 ayo ttp smangaaat untuk aespa w1n mushow https://t.co/nI83COxFx8,
65,1446697847835934722,1425586914418061312,nnti 10.10 tpi aku blm isi shopeepay😭,
66,1446697791279882242,364586078,aduh GW BLM SIAP https://t.co/9QYj1MaCfA,
67,1446697785596674049,1442886249807683585,"bukan nya blm selesai sama masa lalu, emang selalu keinget aja kalo ngomongin masa lalu",
68,1446697681833787396,1355471459657818113,"My first article on Medium. I usually write short fiction. 

https://t.co/0PAF4RePNk

#BLM 
#racism 
#Medium",
69,1446697673659084802,1215710934229868544,"sorry ogut prank, abis blm apa2 lu udah minta sesuatu 🤣🤣 https://t.co/aNyCWSuy6y",{'place_id': '0079932b106eb4c9'}
70,1446697664985268234,1367705721337384960,"yg malming blm ada konco penak
#surabaya area siap
bs janjian include yo rek ...

#panloksurabaya
#ayamkampussurabaya
#bosurabaya 
#ceweksurabaya
#availsurabaya
#mahasiswisurabaya
#cewekbokingsurabaya
#LCsurabaya
#SPGsurabaya
#bispaksurabaya
#wpsurabaya
#bisyarsurabaya https://t.co/aSucCbYp1c",
71,1446697659683639301,209512703,Blm mulai apa2 tp dah punya gambaran ending nya bakal gmna :) dahlah,
72,1446697651928399872,1414948241704112147,"ini kok pada udah ngambil rapot, aku pts aja blm kelar semua😔",
73,1446697624413753345,1063017857057992705,"#regulation of #SocialMedia is a #stupid idea. Not possible. Not advisable. Government making the classic mistake of #BlamingtheMessenger @Twitter @Facebook @instagram are not the issue. The systemic criminality, racism are. Target the root cause and not the #medium. @CNN",
74,1446697540636876802,21117305,My favorite! Whitesplaining Racism to Black People. https://t.co/jjbKi3LzRV,
75,1446697540338864128,1125456441085612033,/ss wta yg beli noeasy di t0kped udh pada dikirim blm yaa? makasih,
76,1446697465743241216,1380369648529539073,sabar ya yg blm ke fb,
77,1446697435288391685,573336998,"This story is infuriating! If you want to know what institutional, systemic racism looks like, look no farther than Rutherford county, Tennessee… Many thanks to the journalists who followed up on this travesty of justice. https://t.co/oEh8uUzi3o",
78,1446697409489240068,1318201905722486785,Aku blm ngepeeel https://t.co/sdv0bmDMok,
79,1446697373640499202,1273899078821150720,gua pen balessss tp blm dpt info lg dri base. awass ntar kalo udh 😌 https://t.co/1PdrwZnpim,
80,1446697339217797129,262098918,"Jenn’s post here is a perfect example of white lady violence. Instead of taking the advice of those telling her she’s wrong, she tries to Karen her way out if it by tagging Esmahan in an attempt to get her into trouble… with an organization she co-founded. The casual racism. 🙃 https://t.co/EDnVRWyhJk",
81,1446697323132858369,2407829010,what is the science (or racism) behind black folks’ obsession with strawberry lemonade when we eat out,
82,1446697316887379971,1341416586,gw tiap chat dia nanyain kok blm putus mulu https://t.co/FHzLABmk5Q,
83,1446697308221947910,1398302541713084418,ternyata blm nyelesaiin fruba final season😢,
84,1446697298025533445,1305750445613150208,Dah pada mandi blm gais,
85,1446697264030916611,1225793633342935043,"LISTEN NOW TO: 
WAIT ‘TIL YOU HEAR THIS! – Episode 4
CAPITALISM Is Guilty For Racism In America
United Daughters of Confederacy (UDC)
What If The People Are Wrong?
A Vaccine Is No Silver Bullet
Garlic Up Ya Life
The African- American
My Epiphany
https://t.co/Sqfr0ve9tR 07 https://t.co/ZJqQZovLB0",
86,1446697259320573952,1134423703222022144,baru bangun lgsg makan basreng tuh gmn cerita anjir? blm makan nasi dr kmrn lagi. ditunggu sakit perutnya😁,
87,1446697254673281026,1446497496205705222,"halo,siang pacarku mana y? oh blm bangun -🦢",
88,1446697252458696708,1431951914749480961,Udah selesai blm ya razia nya,
89,1446697239020068869,1430582051967700992,"duitku bnran entek cuk, blm jg gua beli hydrating toner njem 😔",
90,1446697190139826176,476410624,"#QUESTION Does it say in the #Constitution that our countries #laws are only for #Black folks?!? Because it sure as sh*t seems that way. #BLM #BlackLivesMatter @TeamPelosi 
@GregCowboys @lmauricecpr",
91,1446697174872600578,1281506136995229696,Institutional racism https://t.co/FgtMvzFNX9,
92,1446697171768602633,111830967,"My manager 👍

Ane dukung Arteta krn punya konsep dan filosofi yg bgus , tp kalau bawa sampai puncak sih blm tau , kalau dia pembelajar yg cpt bisaaalaah ~ #olestay https://t.co/f6p4I2US0F",
93,1446697132631609346,1136327084,"ゼロ炭素を声高に叫ぶ人達って、BLMとかLGBTとかヴィーガンとかジェンダーとかの活動家の人達の仲間に見える。
要するに自分の道徳的優越感を満足させる狂信的な新興宗教の類い😎",
94,1446697127862681601,1139305602,"Ga ada, kecuali ada pemulusnya baru jalan:)
Krna ada kasus yg sampe skrang blm juga kelar hehe https://t.co/3UszqaXqE5",
95,1446697117985042444,555651538,"sedih gini blm bisa dapetin hati kamu.
Tapi apa bener kalo di gigit ular cobra jadi banyak bisa-nya? :(",
96,1446697040021385219,625546192,Dia blm nyadarr 🤭,
97,1446697014398369798,1079871123783700480,Because the shooter is Black… it doesn’t fit the MSM narrative of White racism…And he had a “ right” to do it because he is a poor little Black kid and underprivileged.. https://t.co/dPlhET28jv,
98,1446696996723642373,1071853215254237191,Here we go! Join us at https://t.co/EPz3laS4q2 #livenow #starprincessontwitch #smallstreamer #BLM #LGBTQIA+ #mentalhealth,
99,1446696958169600001,1965302634,#ImageDaVoice IT WAS ALL A DREAM (Freestyle) https://t.co/e3vrAnm29X via @YouTube @RealSway  I Will Never Stop Dreaming!!! #BLM #Love #NewPhillySound #ItWasAllADream,
