text,retweet_count,favorite_count,clean_tweet,Hash words,scores,compound,comp_score
"@masha1945s Lol I don’t hate anyone. I didn’t post any violence, or accuse you of any crime. I just said deleting y… https://t.co/3t9cXF9zYE",0,0,"lol i hate anyone. i post violence, accus crime. i said delet y...",No hashtags,"{'neg': 0.562, 'neu': 0.299, 'pos': 0.139, 'compound': -0.8591}",-0.8591,neg
@clayyytonbigsby Bilkul hate crime 😂,0,0,bilkul hate crime,No hashtags,"{'neg': 0.878, 'neu': 0.122, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@Adhu_7_Army @HB_bangtan4life @SubhasmitaNaik2 @ficdealer basically it means
- when bts is active we focus on them… https://t.co/smXHy5vvM4",2,44,basic mean - bt activ focu them...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"#BlackDay 
On this Day 06 December Babri Masjid was demolished by Hindutva Group, Several BJP Politicians accused f… https://t.co/xONR45ceow",6,13,"#blackday on day 06 decemb babri masjid demolish hindutva group, sever bjp politician accus f...",#BlackDay,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
@MeghBulletin @myogiadityanath sir book this Jihadi under NSA.Wasim Rizwi is a resident of UP.UP police can arrest… https://t.co/B1VrphIAA6,34,153,sir book jihadi nsa.wasim rizwi resid up.up polic arrest...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"#ARREST_WASEEM_RIZVI

Arrest the hate monger.
Contribute to our society by punishing this unsocial element.

He is… https://t.co/axx9t77207",87,63,#arrest_waseem_rizvi arrest hate monger. contribut societi punish unsoci element. he is...,#ARREST_WASEEM_RIZVI,"{'neg': 0.543, 'neu': 0.457, 'pos': 0.0, 'compound': -0.8591}",-0.8591,neg
"@NeefaGujjar87 @AsadSultan18 Yeah those are hate crime laws, not blasphemy.
Hate crime laws are in place to address… https://t.co/E0ziHBPR2M",0,1,"yeah hate crime laws, blasphemy. hate crime law place address...",No hashtags,"{'neg': 0.667, 'neu': 0.231, 'pos': 0.102, 'compound': -0.9217}",-0.9217,neg
UK passing law criminalizing street harassment of women. Feminist groups have demanded MISOGYNY to be made a hate c… https://t.co/pRrxEB5JdL,8,24,uk pass law crimin street harass women. feminist group demand misogyni made hate c...,No hashtags,"{'neg': 0.433, 'neu': 0.567, 'pos': 0.0, 'compound': -0.8126}",-0.8126,neg
@richaanirudh I am looking for @ReallySwara @_sabanaqvi @sagarikaghose @ravishndtv @khanumarfa @sayema to write abo… https://t.co/DSsO6RWNMC,0,0,i look write abo...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
There is a solution to this mob killing mess. Any one inciting hate speech against anyone from any forum should be… https://t.co/bvgGoaUrxz,16,118,there solut mob kill mess. ani one incit hate speech anyon forum be...,No hashtags,"{'neg': 0.522, 'neu': 0.478, 'pos': 0.0, 'compound': -0.8979}",-0.8979,neg
@zoo_bear @Aakar__Patel There is also a fact check in the inset news about the propaganda by the RW in the Rohtak c… https://t.co/hHUAGxbBBM,0,1,there also fact check inset news propaganda rw rohtak c...,No hashtags,"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.25}",-0.25,neg
"Okay I’m feeling down to the point that i did for myself a hate crime full of sugar 
“Some coffee,milk,chocolate an… https://t.co/gG33xLa2iv",0,0,"okay i'm feel point hate crime full sugar ""some coffee,milk,chocol an...",No hashtags,"{'neg': 0.421, 'neu': 0.468, 'pos': 0.111, 'compound': -0.743}",-0.743,neg
No I’m sorry singing the English version of Mourir sur scène is an anti-francophone hate crime #quebecbashing https://t.co/tnCgzKRc6h,0,2,no i'm sorri sing english version mourir sur scene anti-francophon hate crime #quebecbash,#quebecbashing,"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.8555}",-0.8555,neg
Unfortunately 6th December has also become synonymous with Hate Crime in modern India. The ideology of hate and div… https://t.co/3tMSYhzkBe,43,136,unfortun 6th decemb also becom synonym hate crime modern india. the ideolog hate div...,No hashtags,"{'neg': 0.498, 'neu': 0.502, 'pos': 0.0, 'compound': -0.8979}",-0.8979,neg
"@KhawajaMAsif 

Sir Asif,

You remained political father of district Sialkot for about 20 years and religious hate… https://t.co/w6YhAsfECp",0,0,"sir asif, you remain polit father district sialkot 20 year religi hate...",No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
this is a hate crime! 😭😭,0,0,hate crime!,No hashtags,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.8172}",-0.8172,neg
@weetbixncheese Ok I tried to watch the video to give them credit… using picnic bacon… ok… wait ketchup and butter…… https://t.co/2W9KukUXjD,0,1,ok i tri watch video give credit... use picnic bacon... ok... wait ketchup butter......,No hashtags,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.296}",0.296,pos
"@whitefeeIings Racist yes, creative yes, funny 😁. It's not a hate crime, just distasteful. 🤷‍♂️ 

It wasn't long ag… https://t.co/KohLfltntp",0,1,"racist yes, creativ yes, funni . it' hate crime, distasteful. it long ag...",No hashtags,"{'neg': 0.475, 'neu': 0.297, 'pos': 0.229, 'compound': -0.7783}",-0.7783,neg
"que este álbum no saliera en mi spotify wrapped después de escucharlo religiosamente cada día...... hate crime
https://t.co/ZezbbKENn2",0,0,que est album saliera en mi spotifi wrap despu de escucharlo religiosament cada dia...... hate crime,No hashtags,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@EbbyMalc17 @WestYorksPolice So they declare they are making misogyny a hate-crime enhancement for crimes against w… https://t.co/GuRqf3EDIr,0,2,so declar make misogyni hate-crim enhanc crime w...,No hashtags,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
By the time central government will wake up and do something about rising crime and hate against Hindus especially… https://t.co/CqE8zgi2dq,1,0,by time central govern wake someth rise crime hate hindu especially...,No hashtags,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@ProdigyDDK But if they do get targeted and beaten then thats a hate crime for the police. Extremism doesnt belong anywhere.,0,0,but get target beaten that hate crime police. extrem doesnt belong anywhere.,No hashtags,"{'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.9382}",-0.9382,neg
"@compolmlr @MangaluruPolice @DgpKarnataka
Day by day, there's crime happening. What is the police  doing to stop th… https://t.co/w6LDjBTm24",1,0,"day day, there' crime happening. what polic stop th...",No hashtags,"{'neg': 0.449, 'neu': 0.551, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg
"@mishi301195 Raja Babu is going to be bashed all the way to Mars starting tomorrow😂😂Legit even makers hate him!
The… https://t.co/9an3qUwViZ",0,5,raja babu go bash way mar start tomorrowlegit even maker hate him! the...,No hashtags,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.6114}",-0.6114,neg
"@WHO (05-12-2021): INDIAN (ASIAN) VISION TEST: DO YOU SEE A HUMAN BEING IN 2 PICTURES ? I MEAN, I AM NOT LOUD .. BU… https://t.co/NelNExYoet",0,1,"(05-12-2021): indian (asian) vision test: do you see a human be in 2 pictur ? i mean, i am not loud .. bu...",No hashtags,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",0.25,pos
"@UWVirology (05-12-2021): INDIAN (ASIAN) VISION TEST: DO YOU SEE A HUMAN BEING IN 2 PICTURES ? I MEAN, I AM NOT LOU… https://t.co/d5YU9thc8Q",0,1,"(05-12-2021): indian (asian) vision test: do you see a human be in 2 pictur ? i mean, i am not lou...",No hashtags,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.25}",0.25,pos
"(05-12-2021): INDIAN (ASIAN) VISION TEST: DO YOU SEE A HUMAN BEING IN 2 PICTURES ? I MEAN, I AM NOT LOUD .. BUT OUT… https://t.co/xGrpJwQxpH",0,1,"(05-12-2021): indian (asian) vision test: do you see a human be in 2 pictur ? i mean, i am not loud .. but out...",No hashtags,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.128}",0.128,pos
@NewsroomPostCom @thenewsminute here another ‘hate crime’ article for you! You guys love to eat food that has been spat on,0,0,anoth 'hate crime' articl you! you guy love eat food spat,No hashtags,"{'neg': 0.38, 'neu': 0.406, 'pos': 0.213, 'compound': -0.5093}",-0.5093,neg
"@Crime_Lover1 hate you 

STRONGEST CONTESTANT KARAN

@ColorsTV
@OrmaxMedia",5,2,hate strongest contest karan,No hashtags,"{'neg': 0.43, 'neu': 0.233, 'pos': 0.337, 'compound': -0.2023}",-0.2023,neg
